Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
2022-01-14,United Kingdom,2022-01-15 04:21:07,16.742498,-62.187366,129,1,,,"Montserrat, United Kingdom",2580.516103220645,0.7751937984496124
2022-01-14,United Kingdom,2022-01-15 04:21:07,54.7877,-6.4923,475146,3035,,,"Northern Ireland, United Kingdom",25252.232142857134,0.6387510365235106
2022-01-14,United Kingdom,2022-01-15 04:21:07,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-14,United Kingdom,2022-01-15 04:21:07,56.4907,-4.2026,1085696,10038,,,"Scotland, United Kingdom",19872.531254003992,0.9245682032539496
2022-01-14,United Kingdom,2022-01-15 04:21:07,21.69400000000001,-71.7979,4956,30,,,"Turks and Caicos Islands, United Kingdom",12800.24794669146,0.6053268765133172
2022-01-14,United Kingdom,2022-01-15 04:21:07,,,0,0,,,"Unknown, United Kingdom",,
2022-01-14,United Kingdom,2022-01-15 04:21:07,52.1307,-3.7837,738609,6683,,,"Wales, United Kingdom",23533.072070349837,0.9048089043052548
2022-01-14,United Kingdom,2022-01-15 04:21:07,49.2138,-2.1358,25327,92,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-14,United Kingdom,2022-01-15 04:21:07,49.448196,-2.58949,10228,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-15,United Kingdom,2022-01-16 04:21:12,18.2206,-63.0686,2040,6,,,"Anguilla, United Kingdom",13598.186908412212,0.29411764705882354
2022-01-15,United Kingdom,2022-01-16 04:21:12,32.3078,-64.7505,8541,110,,,"Bermuda, United Kingdom",13715.414385046486,1.2879053974944386
2022-01-15,United Kingdom,2022-01-16 04:21:12,18.4207,-64.64,5255,42,,,"British Virgin Islands, United Kingdom",17379.369646459636,0.7992388201712655
2022-01-15,United Kingdom,2022-01-16 04:21:12,19.3133,-81.2546,11666,15,,,"Cayman Islands, United Kingdom",17751.065124771758,0.12857877593005315
2022-01-15,United Kingdom,2022-01-16 04:21:12,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",21057.601510859306,0.3398044731638025
2022-01-15,United Kingdom,2022-01-16 04:21:12,52.3555,-1.1743,12840532,132122,,,"England, United Kingdom",22938.860821906066,1.028944906644055
2022-01-15,United Kingdom,2022-01-16 04:21:12,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-15,United Kingdom,2022-01-16 04:21:12,36.1408,-5.3536,10725,100,,,"Gibraltar, United Kingdom",31833.427324804845,0.9324009324009324
2022-01-15,United Kingdom,2022-01-16 04:21:12,54.2361,-4.5481,19686,70,,,"Isle of Man, United Kingdom",23151.284222410384,0.35558264756679875
2022-01-15,United Kingdom,2022-01-16 04:21:12,16.742498,-62.187366,129,1,,,"Montserrat, United Kingdom",2580.516103220645,0.7751937984496124
2022-01-15,United Kingdom,2022-01-16 04:21:12,54.7877,-6.4923,477814,3035,,,"Northern Ireland, United Kingdom",25394.02636054421,0.6351844022988025
2022-01-15,United Kingdom,2022-01-16 04:21:12,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-15,United Kingdom,2022-01-16 04:21:12,56.4907,-4.2026,1090165,10059,,,"Scotland, United Kingdom",19954.33163106548,0.9227043612664138
2022-01-15,United Kingdom,2022-01-16 04:21:12,21.69400000000001,-71.7979,5025,30,,,"Turks and Caicos Islands, United Kingdom",12978.459631179298,0.5970149253731343
2022-01-15,United Kingdom,2022-01-16 04:21:12,,,0,0,,,"Unknown, United Kingdom",,
2022-01-15,United Kingdom,2022-01-16 04:21:12,52.1307,-3.7837,738609,6683,,,"Wales, United Kingdom",23533.072070349837,0.9048089043052548
2022-01-15,United Kingdom,2022-01-16 04:21:12,49.2138,-2.1358,25618,92,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-15,United Kingdom,2022-01-16 04:21:12,49.448196,-2.58949,10314,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-16,United Kingdom,2022-01-17 04:21:08,18.2206,-63.0686,2109,7,,,"Anguilla, United Kingdom",14058.125583255563,0.29411764705882354
2022-01-16,United Kingdom,2022-01-17 04:21:08,32.3078,-64.7505,8541,110,,,"Bermuda, United Kingdom",13715.414385046486,1.2879053974944386
2022-01-16,United Kingdom,2022-01-17 04:21:08,18.4207,-64.64,5255,42,,,"British Virgin Islands, United Kingdom",17379.369646459636,0.7992388201712655
2022-01-16,United Kingdom,2022-01-17 04:21:08,19.3133,-81.2546,11666,15,,,"Cayman Islands, United Kingdom",17751.065124771758,0.12857877593005315
2022-01-16,United Kingdom,2022-01-17 04:21:08,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",21057.601510859306,0.3398044731638025
2022-01-16,United Kingdom,2022-01-17 04:21:08,52.3555,-1.1743,12906041,132201,,,"England, United Kingdom",23055.888826164937,1.0243342633112664
2022-01-16,United Kingdom,2022-01-17 04:21:08,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-16,United Kingdom,2022-01-17 04:21:08,36.1408,-5.3536,10833,100,,,"Gibraltar, United Kingdom",32153.98771185183,0.9231053263177328
2022-01-16,United Kingdom,2022-01-17 04:21:08,54.2361,-4.5481,19686,70,,,"Isle of Man, United Kingdom",23151.284222410384,0.35558264756679875
2022-01-16,United Kingdom,2022-01-17 04:21:08,16.742498,-62.187366,139,1,,,"Montserrat, United Kingdom",2780.5561112222445,0.7194244604316546
2022-01-16,United Kingdom,2022-01-17 04:21:08,54.7877,-6.4923,480332,3038,,,"Northern Ireland, United Kingdom",25527.848639455788,0.6324792018853627
2022-01-16,United Kingdom,2022-01-17 04:21:08,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-16,United Kingdom,2022-01-17 04:21:08,56.4907,-4.2026,1090165,10059,,,"Scotland, United Kingdom",19954.33163106548,0.9227043612664138
2022-01-16,United Kingdom,2022-01-17 04:21:08,21.69400000000001,-71.7979,5110,30,,,"Turks and Caicos Islands, United Kingdom",13197.99576424402,0.5870841487279843
2022-01-16,United Kingdom,2022-01-17 04:21:08,,,0,0,,,"Unknown, United Kingdom",,
2022-01-16,United Kingdom,2022-01-17 04:21:08,52.1307,-3.7837,740742,6689,,,"Wales, United Kingdom",23601.032307398204,0.9030134648771098
2022-01-16,United Kingdom,2022-01-17 04:21:08,49.2138,-2.1358,25908,92,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-16,United Kingdom,2022-01-17 04:21:08,49.448196,-2.58949,10371,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-17,United Kingdom,2022-01-18 04:21:04,18.2206,-63.0686,2109,7,,,"Anguilla, United Kingdom",14058.125583255563,0.29411764705882354
2022-01-17,United Kingdom,2022-01-18 04:21:04,32.3078,-64.7505,9144,110,,,"Bermuda, United Kingdom",14683.73131212564,1.2029746281714786
2022-01-17,United Kingdom,2022-01-18 04:21:04,18.4207,-64.64,5449,47,,,"British Virgin Islands, United Kingdom",18020.967688593446,0.7992388201712655
2022-01-17,United Kingdom,2022-01-18 04:21:04,19.3133,-81.2546,12023,15,,,"Cayman Islands, United Kingdom",18294.27875836884,0.12476087498960325
2022-01-17,United Kingdom,2022-01-18 04:21:04,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",21614.203015853465,0.3310539455117769
