Day,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
2022-01-14,0.0005622238546321165,0.0006432109088570141,,,0.5498151483552943
2022-01-14,0.0010491931749253812,0.00045024763619990995,,,0.20623793558874326
2022-01-14,6.875237202345533e-06,6.432109088570142e-06,,,0.4496124031007752
2022-01-14,0.02532357717632303,0.01952145108381038,,,0.37047560118363615
2022-01-14,2.131856496851328e-07,0.0,,,0.0
2022-01-14,0.057863701780137486,0.06456551103106709,,,0.5362495578872908
2022-01-14,0.0002641370199598795,0.00019296327265710427,,,0.3510895883777239
2022-01-14,0.0,0.0,,,
2022-01-14,0.03936520988207157,0.04298578503891426,,,0.5247891644970478
2022-01-14,0.0013498382373938395,0.000591754036148453,0.0,0.0,0.0
2022-01-14,0.0005451157062448846,0.00019296327265710427,0.0,0.0,0.0
